URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://s.clarity.ms/collect,COMPLETE,204,https,POST,,/127.0.0.1,56536,s.clarity.ms/23.96.124.68,443,,28 Jul 2025 18:23:13,28 Jul 2025 18:23:14,28 Jul 2025 18:23:14,28 Jul 2025 18:23:14,1639,235,302,689,3,3,407,21.325,925.0,10726.0,1959,537,279,32178,0,,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,54716,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 18:23:26,28 Jul 2025 18:23:30,28 Jul 2025 18:23:33,28 Jul 2025 18:23:33,6855,92,196,3071,158,524,2814,0.595,22.424,1.028,906,1932,705,260,0,279,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,54726,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 18:23:26,28 Jul 2025 18:23:30,28 Jul 2025 18:23:33,28 Jul 2025 18:23:33,6837,75,198,3066,157,525,2816,0.568,22.318,0.733,906,1932,666,260,0,125,,
https://unified-uat.digit.org/project-factory/v1/project-type/search,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,54738,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 18:23:26,28 Jul 2025 18:23:30,28 Jul 2025 18:23:33,28 Jul 2025 18:23:34,6994,61,197,3070,386,684,2596,0.65,8.976,1.581,906,1942,617,260,0,822,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,54752,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 18:23:26,28 Jul 2025 18:23:30,28 Jul 2025 18:23:33,28 Jul 2025 18:23:33,6876,59,196,3068,139,598,2816,1.479,25.223,11.148,906,1932,668,260,0,6407,,
https://unified-uat.digit.org/boundary-service/boundary-hierarchy-definition/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,54764,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 18:23:26,28 Jul 2025 18:23:30,28 Jul 2025 18:23:33,28 Jul 2025 18:23:33,6808,57,196,3071,138,531,2815,0.691,25.449,2.254,906,1958,648,260,0,937,,
https://unified-uat.digit.org/project-factory/v1/project-type/search,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,54770,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 18:23:26,28 Jul 2025 18:23:30,28 Jul 2025 18:23:33,28 Jul 2025 18:23:33,6795,42,197,3067,145,528,2816,0.672,24.048,2.049,906,1942,639,260,0,822,,
https://s.clarity.ms/collect,COMPLETE,204,https,POST,,/127.0.0.1,56536,s.clarity.ms/23.96.124.68,443,,28 Jul 2025 18:23:27,28 Jul 2025 18:23:34,28 Jul 2025 18:23:37,28 Jul 2025 18:23:37,17474,,323,6723,7245,6,3177,2.33,1.178,5363.0,2791,538,5212,32178,0,,,
https://s.clarity.ms/collect,COMPLETE,204,https,POST,,/127.0.0.1,54786,s.clarity.ms/23.96.124.68,443,,28 Jul 2025 18:23:27,28 Jul 2025 18:23:34,28 Jul 2025 18:23:37,28 Jul 2025 18:23:37,10450,0,427,6600,58,7,3358,3.52,79.465,4596.857,2791,530,1288,32178,0,,,
https://www.google.co.in/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-3LN58ZJ5KN&cid=1508104661.1753696693&gtm=45je57o0h2v9195976050za200zd9195976050&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&z=332116184,COMPLETE,200,https,GET,image/gif,/127.0.0.1,54790,www.google.co.in/142.251.222.163,443,,28 Jul 2025 18:23:27,28 Jul 2025 18:23:31,28 Jul 2025 18:23:34,28 Jul 2025 18:23:34,6395,1,78,3048,25,19,3224,0.307,66.48,15.894,896,766,,260,0,42,,
https://analytics.google.com/g/collect?v=2&tid=G-3LN58ZJ5KN&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=7&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D5%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=13811&tfd=804989,COMPLETE,204,https,POST,text/plain,/127.0.0.1,54806,analytics.google.com/216.239.32.181,443,,28 Jul 2025 18:23:28,28 Jul 2025 18:23:31,28 Jul 2025 18:23:34,28 Jul 2025 18:23:34,6229,77,16,3050,41,23,3022,0.39,53.0,11.304,904,1269,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-XYNP0YV2LH&gtm=45je57n0v9223891585z89224557134za200zb9225661753zd9225661753&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AAAAAAQ&sid=1753696695&sct=1&seg=1&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fcreate-campaign%3Fkey%3D3&dt=DIGIT%20HCM&_s=12&tfd=805037,COMPLETE,204,https,POST,text/plain,/127.0.0.1,54814,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:23:28,28 Jul 2025 18:23:31,28 Jul 2025 18:23:34,28 Jul 2025 18:23:34,6284,77,16,3052,63,22,3054,0.491,44.873,11.818,912,1158,757,260,0,,,
https://fonts.gstatic.com/s/robotocondensed/v30/ieVl2ZhZI2eCN5jzbjEETS9weq8-19K7DQ.woff2,COMPLETE,200,https,GET,font/woff2,/127.0.0.1,54700,fonts.gstatic.com/142.251.43.227,443,,28 Jul 2025 18:23:29,28 Jul 2025 18:23:30,28 Jul 2025 18:23:33,28 Jul 2025 18:23:33,6852,1,57,3073,13,707,3001,7.797,95.384,73.814,904,336,,260,515,51412,,
https://www.google-analytics.com/g/collect?v=2&tid=G-4FTREDCS0G&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=7&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D5%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=13821&tfd=810004,COMPLETE,204,https,POST,text/plain,/127.0.0.1,57954,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:23:33,28 Jul 2025 18:23:36,28 Jul 2025 18:23:40,28 Jul 2025 18:23:40,6547,0,16,3354,42,22,3113,0.372,51.857,11.818,912,1266,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-EHCDQF6VQ5&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=6&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D5%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=13829&tfd=810021,COMPLETE,204,https,POST,text/plain,/127.0.0.1,57966,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:23:33,28 Jul 2025 18:23:36,28 Jul 2025 18:23:40,28 Jul 2025 18:23:40,6547,0,16,3354,42,22,3113,0.372,51.857,11.818,912,1266,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-FS7DJ7SGKL&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=6&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D5%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=13826&tfd=810013,COMPLETE,204,https,POST,text/plain,/127.0.0.1,57982,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:23:33,28 Jul 2025 18:23:36,28 Jul 2025 18:23:40,28 Jul 2025 18:23:40,6547,0,16,3354,42,22,3113,0.372,51.857,11.818,912,1266,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-XYNP0YV2LH&gtm=45je57n0v9223891585za200zb9225661753zd9225661753&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=13&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D5%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696695&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=1167&tfd=810038,COMPLETE,204,https,POST,text/plain,/127.0.0.1,57990,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:23:33,28 Jul 2025 18:23:36,28 Jul 2025 18:23:40,28 Jul 2025 18:23:40,6641,0,11,3346,104,22,3158,0.368,21.038,11.818,912,1276,0,260,0,,,
