URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://unified-uat.digit.org/boundary-service/boundary-hierarchy-definition/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,33016,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:34:55,28 Jul 2025 18:34:59,28 Jul 2025 18:35:02,28 Jul 2025 18:35:02,6895,166,343,3206,86,266,2828,0.678,40.488,4.5,906,1928,648,260,0,937,,
https://unified-uat.digit.org/project-factory/v1/project-type/search,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,33000,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:34:55,28 Jul 2025 18:34:59,28 Jul 2025 18:35:02,28 Jul 2025 18:35:02,7213,166,344,3206,85,583,2829,1.508,40.411,12.771,906,1912,617,260,0,7186,,
https://unified-uat.digit.org/project-factory/v1/project-type/search,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,33026,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:34:55,28 Jul 2025 18:34:59,28 Jul 2025 18:35:02,28 Jul 2025 18:35:02,7214,166,344,3206,85,584,2829,1.511,40.67,12.75,906,1912,639,260,0,7186,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,33010,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:34:55,28 Jul 2025 18:34:59,28 Jul 2025 18:35:02,28 Jul 2025 18:35:02,6867,166,344,3206,87,237,2827,0.59,40.379,2.274,906,1902,705,260,0,279,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,32986,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:34:55,28 Jul 2025 18:34:59,28 Jul 2025 18:35:02,28 Jul 2025 18:35:02,6943,166,345,3206,86,312,2828,1.46,40.418,21.368,906,1902,668,260,0,6407,,
https://www.google.co.in/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-3LN58ZJ5KN&cid=1508104661.1753696693&gtm=45je57o0h2v9195976050za200zd9195976050&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&z=97852591,COMPLETE,200,https,GET,image/gif,/127.0.0.1,33030,www.google.co.in/142.251.222.163,443,,28 Jul 2025 18:34:56,28 Jul 2025 18:34:59,28 Jul 2025 18:35:03,28 Jul 2025 18:35:03,6827,403,73,3054,26,19,3252,0.287,63.884,15.894,896,765,,260,0,42,,
https://analytics.google.com/g/collect?v=2&tid=G-3LN58ZJ5KN&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=27&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D7%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue%26projectType%3DBednet&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=24316&tfd=1493272,COMPLETE,204,https,POST,text/plain,/127.0.0.1,33040,analytics.google.com/216.239.32.181,443,,28 Jul 2025 18:34:56,28 Jul 2025 18:35:00,28 Jul 2025 18:35:03,28 Jul 2025 18:35:03,6414,106,31,3187,43,21,3026,0.383,51.116,12.38,904,1294,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-XYNP0YV2LH&gtm=45je57n0v9223891585z89224557134za200zb9225661753zd9225661753&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AAAAAAQ&sid=1753696695&sct=1&seg=1&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fupload-screen%3Fkey%3D6%26campaignName%3DBednet_july_2025-28-3G-002%26campaignNumber%3DCMP-2025-07-28-004647&dt=DIGIT%20HCM&_s=74&tfd=1493317,COMPLETE,204,https,POST,text/plain,/127.0.0.1,33050,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:34:56,28 Jul 2025 18:35:00,28 Jul 2025 18:35:03,28 Jul 2025 18:35:03,6456,83,21,3219,74,22,3037,0.535,43.162,11.818,912,1243,1039,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-4FTREDCS0G&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=25&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D7%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue%26projectType%3DBednet&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=24325&tfd=1498364,COMPLETE,204,https,POST,text/plain,/127.0.0.1,33064,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:35:01,28 Jul 2025 18:35:05,28 Jul 2025 18:35:08,28 Jul 2025 18:35:08,6217,0,9,3117,42,22,3027,0.396,52.452,11.818,912,1291,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-EHCDQF6VQ5&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=24&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D7%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue%26projectType%3DBednet&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=24327&tfd=1498365,COMPLETE,204,https,POST,text/plain,/127.0.0.1,33074,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:35:01,28 Jul 2025 18:35:05,28 Jul 2025 18:35:08,28 Jul 2025 18:35:08,6172,0,9,3092,43,23,3005,0.399,51.232,11.304,912,1291,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-FS7DJ7SGKL&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=24&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D7%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue%26projectType%3DBednet&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=24329&tfd=1498365,COMPLETE,204,https,POST,text/plain,/127.0.0.1,33082,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:35:01,28 Jul 2025 18:35:05,28 Jul 2025 18:35:08,28 Jul 2025 18:35:08,6178,0,8,3091,43,23,3013,0.398,51.232,11.304,912,1291,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-XYNP0YV2LH&gtm=45je57n0v9223891585za200zb9225661753zd9225661753&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=75&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D7%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue%26projectType%3DBednet&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&sid=1753696695&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=1145&tfd=1498365,COMPLETE,204,https,POST,text/plain,/127.0.0.1,33094,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:35:01,28 Jul 2025 18:35:05,28 Jul 2025 18:35:08,28 Jul 2025 18:35:08,6171,0,41,3059,43,23,3005,0.4,51.441,11.304,912,1300,0,260,0,,,
https://us.i.posthog.com/e/?ip=0&_=1753707897821&ver=1.258.2,COMPLETE,200,https,OPTIONS,,/127.0.0.1,33058,us.i.posthog.com/54.196.64.149,443,,28 Jul 2025 18:35:02,28 Jul 2025 18:35:02,28 Jul 2025 18:35:05,28 Jul 2025 18:35:05,7380,116,473,3467,14,9,3301,0.245,88.714,63.111,902,340,,260,308,0,,
https://us.i.posthog.com/e/?ip=0&_=1753707897821&ver=1.258.2,COMPLETE,200,https,POST,application/json,/127.0.0.1,33058,us.i.posthog.com/54.196.64.149,443,,28 Jul 2025 18:35:05,28 Jul 2025 18:35:05,28 Jul 2025 18:35:08,28 Jul 2025 18:35:08,3560,,,,321,10,3229,2.877,31.077,26.7,,33,9943,,252,15,,
https://ads.mozilla.org/v1/ads,COMPLETE,200,https,POST,application/json,/127.0.0.1,38538,ads.mozilla.org/34.36.137.203,443,,28 Jul 2025 18:35:07,28 Jul 2025 18:35:07,28 Jul 2025 18:35:10,28 Jul 2025 18:35:10,7139,404,35,3316,15,10,3359,0.24,85.6,43.2,900,161,223,260,113,59,,
https://us.i.posthog.com/e/?ip=0&_=1753707907523&ver=1.258.2,COMPLETE,200,https,OPTIONS,,/127.0.0.1,33058,us.i.posthog.com/54.196.64.149,443,,28 Jul 2025 18:35:07,28 Jul 2025 18:35:07,28 Jul 2025 18:35:10,28 Jul 2025 18:35:10,3261,,,,2,8,3251,0.107,22.5,38.375,,45,,,307,0,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,33000,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:35:09,28 Jul 2025 18:35:09,28 Jul 2025 18:35:12,28 Jul 2025 18:35:12,3105,,,,84,16,3005,0.875,30.666,8.812,,1902,674,,0,141,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,33026,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:35:09,28 Jul 2025 18:35:09,28 Jul 2025 18:35:12,28 Jul 2025 18:35:12,3176,,,,91,89,2996,2.826,28.241,71.988,,1902,668,,0,6407,,
https://unified-uat.digit.org/project-factory/v1/project-type/update,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,32986,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:35:09,28 Jul 2025 18:35:10,28 Jul 2025 18:35:13,28 Jul 2025 18:35:13,4415,,,,615,98,3702,3.909,15.998,75.724,,1913,7926,,0,7421,,
https://unified-uat.digit.org/project-factory/v1/project-type/update,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,33016,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:35:09,28 Jul 2025 18:35:10,28 Jul 2025 18:35:13,28 Jul 2025 18:35:13,4421,,,,566,98,3757,3.904,17.383,75.724,,1913,7926,,0,7421,,
https://www.google-analytics.com/g/collect?v=2&tid=G-XYNP0YV2LH&gtm=45je57n0v9223891585z89224557134za200zb9225661753zd9225661753&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AAAAAAQ&sid=1753696695&sct=1&seg=1&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D7%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue%26projectType%3DBednet&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004647%26tenantId%3Dmz&dt=DIGIT%20HCM&_s=76&tfd=1506798,COMPLETE,204,https,POST,text/plain,/127.0.0.1,33050,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:35:10,28 Jul 2025 18:35:10,28 Jul 2025 18:35:13,28 Jul 2025 18:35:13,3465,,,,191,13,3261,1.717,31.151,0.0,,1333,4617,,0,,,
https://us.i.posthog.com/e/?ip=0&_=1753707907523&ver=1.258.2,COMPLETE,200,https,POST,application/json,/127.0.0.1,33058,us.i.posthog.com/54.196.64.149,443,,28 Jul 2025 18:35:10,28 Jul 2025 18:35:11,28 Jul 2025 18:35:15,28 Jul 2025 18:35:15,4436,,,,1200,9,3227,8.312,30.505,29.666,,22,36585,,252,15,,
https://us.i.posthog.com/e/?ip=0&_=1753707911300&ver=1.258.2,COMPLETE,200,https,OPTIONS,,/127.0.0.1,33058,us.i.posthog.com/54.196.64.149,443,,28 Jul 2025 18:35:11,28 Jul 2025 18:35:11,28 Jul 2025 18:35:15,28 Jul 2025 18:35:15,3908,,,,682,7,3219,0.09,0.065,43.857,,45,,,307,0,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,33000,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:35:12,28 Jul 2025 18:35:12,28 Jul 2025 18:35:15,28 Jul 2025 18:35:15,3181,,,,83,26,3072,1.139,30.795,41.153,,1887,669,,0,1070,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,33010,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:35:12,28 Jul 2025 18:35:12,28 Jul 2025 18:35:15,28 Jul 2025 18:35:15,3163,,,,82,14,3067,0.897,31.182,20.142,,1887,670,,0,282,,
https://unified-uat.digit.org/project-factory/v1/project-type/search,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,32986,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 18:35:14,28 Jul 2025 18:35:14,28 Jul 2025 18:35:17,28 Jul 2025 18:35:17,3333,,,,82,97,3154,3.016,30.926,77.494,,1897,639,,0,7517,,
https://us.i.posthog.com/e/?ip=0&_=1753707911300&ver=1.258.2,COMPLETE,200,https,POST,application/json,/127.0.0.1,33058,us.i.posthog.com/54.196.64.149,443,,28 Jul 2025 18:35:15,28 Jul 2025 18:35:15,28 Jul 2025 18:35:19,28 Jul 2025 18:35:19,3984,,,,668,8,3308,5.296,31.187,33.375,,22,20811,,252,15,,
https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBA.woff2,COMPLETE,200,https,GET,font/woff2,/127.0.0.1,59962,fonts.gstatic.com/142.251.43.227,443,,28 Jul 2025 18:35:16,28 Jul 2025 18:35:16,28 Jul 2025 18:35:19,28 Jul 2025 18:35:19,6892,169,34,3137,13,530,3009,6.114,95.153,77.177,904,333,,260,516,40128,,
https://www.google-analytics.com/g/collect?v=2&tid=G-FS7DJ7SGKL&gtm=45je57o0h2v9195976050za200zd9195976050&_p=1753706418744&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813~105134979~105134981&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=25&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D8%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue%26projectType%3DBednet&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D7%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004647%26id%3Dc8df96a2-24a8-451d-8db2-ad77153bb6e2%26draft%3Dnull%26isDraft%3Dtrue%26projectType%3DBednet&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=14479&tfd=1512781,COMPLETE,204,https,POST,text/plain,/127.0.0.1,33094,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 18:35:16,28 Jul 2025 18:35:16,28 Jul 2025 18:35:19,28 Jul 2025 18:35:19,3104,,,,48,12,3044,0.457,29.583,0.0,,1420,0,,0,,,
