URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,59838,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 16:01:55,28 Jul 2025 16:01:55,28 Jul 2025 16:01:59,28 Jul 2025 16:01:59,3914,,,,5,12,3897,0.254,150.8,20.333,,29,,,170,74,,
https://safebrowsing.googleapis.com/v4/threatListUpdates:fetch?$ct=application/x-protobuf&key=AIzaSyC7jsptDS3am4tPx4r3nxis7IMjBc5Dovo&$httpMethod=POST&$req=ChUKE25hdmNsaWVudC1hdXRvLWZmb3gaJwgFEAIaGwoNCAUQBhgBIgMwMDEwARDPqxwaAhgDjNBmyyICIAIoARonCAEQAhobCg0IARAGGAEiAzAwMTABEK7TERoCGAMgELdCIgIgAigBGicIAxACGhsKDQgDEAYYASIDMDAxMAEQ_soRGgIYAyVeHPUiAiACKAEaJwgHEAIaGwoNCAcQBhgBIgMwMDEwARDa_hEaAhgD1dr8TSICIAIoARolCAkQAhoZCg0ICRAGGAEiAzAwMTABECMaAhgD4HOyDyICIAIoAQ==,COMPLETE,200,https,GET,application/x-protobuf,/127.0.0.1,59866,safebrowsing.googleapis.com/142.251.221.106,443,,28 Jul 2025 16:02:01,28 Jul 2025 16:02:01,28 Jul 2025 16:02:01,28 Jul 2025 16:02:01,103,5,31,41,1,2,23,41.533,1508.0,1385.0,924,584,,260,208,2302,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,59838,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 16:02:23,28 Jul 2025 16:02:24,28 Jul 2025 16:02:27,28 Jul 2025 16:02:30,6991,,,,1021,3015,2955,1.484,1.372,2.978,,733,668,,170,8809,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,59838,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 16:02:23,28 Jul 2025 16:02:25,28 Jul 2025 16:02:30,28 Jul 2025 16:02:31,7754,,,,1517,767,5470,0.128,0.459,0.388,,30,667,,170,128,,
https://unified-uat.digit.org/project-factory/v1/project-type/search,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,59838,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 16:02:23,28 Jul 2025 16:02:25,28 Jul 2025 16:02:31,28 Jul 2025 16:02:33,10106,,,,1994,2364,5748,0.825,0.324,3.253,,30,617,,242,7449,,
https://unified-uat.digit.org/project-factory/v1/data/_download?tenantId=mz&type=facility&hierarchyType=NIGERIAFINA4&status=completed,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,59838,unified-uat.digit.org/15.207.234.19,443,,28 Jul 2025 16:02:25,28 Jul 2025 16:02:26,28 Jul 2025 16:02:33,28 Jul 2025 16:02:33,8688,,,,1807,172,6709,0.287,0.892,5.133,,1073,540,,239,644,,
https://www.google-analytics.com/g/collect?v=2&tid=G-XYNP0YV2LH&gtm=45je57n0v9223891585z89224557134za200zb9195976050zd9195976050&_p=1753697051427&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AAAAAAQ&sid=1753696695&sct=1&seg=1&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004643%26tenantId%3Dmz&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fresponse%3FisSuccess%3Dtrue&dt=DIGIT%20HCM&_s=56&tfd=1701740,COMPLETE,204,https,POST,text/plain,/127.0.0.1,38526,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 16:02:25,28 Jul 2025 16:02:31,28 Jul 2025 16:02:34,28 Jul 2025 16:02:35,9025,128,56,3622,1632,835,2752,0.37,1.887,0.311,912,1142,1027,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-XYNP0YV2LH&gtm=45je57n0v9223891585za200zb9195976050zd9195976050&_p=1753697051427&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=57&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fupload-screen%3Fkey%3D1%26campaignName%3DBednet_july_2025-28-2G-002%26campaignNumber%3DCMP-2025-07-28-004643&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004643%26tenantId%3Dmz&sid=1753696695&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=1145&tfd=1702239,COMPLETE,204,https,POST,text/plain,/127.0.0.1,38534,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 16:02:25,28 Jul 2025 16:02:32,28 Jul 2025 16:02:35,28 Jul 2025 16:02:36,9139,0,296,4034,912,1276,2621,0.258,2.304,0.203,912,1190,0,260,0,,,
https://www.google.co.in/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-3LN58ZJ5KN&cid=1508104661.1753696693&gtm=45je57n0v9195976050za200zd9195976050&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&z=375784493,COMPLETE,200,https,GET,image/gif,/127.0.0.1,38514,www.google.co.in/142.251.222.163,443,,28 Jul 2025 16:02:29,28 Jul 2025 16:02:29,28 Jul 2025 16:02:32,28 Jul 2025 16:02:32,7511,401,73,3295,343,84,3315,0.267,3.982,7.63,902,464,,260,339,42,,
https://www.google-analytics.com/g/collect?v=2&tid=G-4FTREDCS0G&gtm=45je57n0v9195976050za200zd9195976050&_p=1753697051427&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=19&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fupload-screen%3Fkey%3D1%26campaignName%3DBednet_july_2025-28-2G-002%26campaignNumber%3DCMP-2025-07-28-004643&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004643%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=15322&tfd=1706691,COMPLETE,204,https,POST,text/plain,/127.0.0.1,38562,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 16:02:30,28 Jul 2025 16:02:35,28 Jul 2025 16:02:38,28 Jul 2025 16:02:38,7718,0,102,3594,844,233,2945,0.304,2.477,1.115,912,1179,0,260,0,,,
