URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://www.google-analytics.com/g/collect?v=2&tid=G-XYNP0YV2LH&gtm=45je57n0v9223891585z89224557134za200zb9195976050zd9195976050&_p=1753697051427&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AAAAAAQ&sid=1753696695&sct=1&seg=1&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004643%26tenantId%3Dmz&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fcreate-campaign%3Fkey%3D3&dt=DIGIT%20HCM&_s=19&tfd=652471,COMPLETE,204,https,POST,text/plain,/127.0.0.1,39898,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 15:44:55,28 Jul 2025 15:45:02,28 Jul 2025 15:45:05,28 Jul 2025 15:45:07,9946,48,23,3333,2099,1509,2934,0.308,1.337,0.172,912,1138,757,260,0,,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,39876,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 15:44:58,28 Jul 2025 15:45:00,28 Jul 2025 15:45:03,28 Jul 2025 15:45:03,8522,203,336,3351,1375,422,2835,0.427,2.14,1.658,912,1326,705,260,171,269,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,39876,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 15:44:58,28 Jul 2025 15:45:00,28 Jul 2025 15:45:03,28 Jul 2025 15:45:04,5124,,,,1859,193,3072,0.191,0.373,1.481,,29,666,,170,116,,
https://unified-uat.digit.org/project-factory/v1/project-type/search,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,39876,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 15:44:58,28 Jul 2025 15:45:02,28 Jul 2025 15:45:05,28 Jul 2025 15:45:06,7523,,,,3590,858,3075,0.231,0.188,1.238,,58,617,,241,822,,
https://unified-uat.digit.org/egov-mdms-service/v1/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,39876,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 15:44:58,28 Jul 2025 15:45:03,28 Jul 2025 15:45:07,28 Jul 2025 15:45:08,9595,,,,4609,1508,3478,0.756,0.151,4.35,,29,668,,170,6390,,
https://unified-uat.digit.org/boundary-service/boundary-hierarchy-definition/_search,COMPLETE,200,https,POST,application/json,/127.0.0.1,39876,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 15:44:58,28 Jul 2025 15:45:04,28 Jul 2025 15:45:08,28 Jul 2025 15:45:08,9730,,,,5099,206,4425,0.186,0.14,5.325,,69,648,,170,927,,
https://unified-uat.digit.org/project-factory/v1/project-type/search,COMPLETE,200,https,POST,application/json; charset=utf-8,/127.0.0.1,39876,unified-uat.digit.org/35.154.67.28,443,,28 Jul 2025 15:44:58,28 Jul 2025 15:45:04,28 Jul 2025 15:45:08,28 Jul 2025 15:45:08,9901,,,,5595,185,4121,0.174,0.119,5.74,,29,639,,240,822,,
https://www.google.co.in/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-3LN58ZJ5KN&cid=1508104661.1753696693&gtm=45je57n0v9195976050za200zd9195976050&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&z=1179612269,COMPLETE,200,https,GET,image/gif,/127.0.0.1,39884,www.google.co.in/142.251.222.163,443,,28 Jul 2025 15:45:00,28 Jul 2025 15:45:00,28 Jul 2025 15:45:03,28 Jul 2025 15:45:03,7463,379,270,3356,296,82,3080,0.268,4.614,7.817,902,464,,260,339,42,,
https://www.google-analytics.com/g/collect?v=2&tid=G-4FTREDCS0G&gtm=45je57n0v9195976050za200zd9195976050&_p=1753697051427&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=8&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D5%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004643%26id%3Dc35acb84-16ad-4bb3-a06d-e43082b0e1d4%26draft%3Dnull%26isDraft%3Dtrue&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004643%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=13788&tfd=657482,COMPLETE,204,https,POST,text/plain,/127.0.0.1,39924,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 15:45:00,28 Jul 2025 15:45:06,28 Jul 2025 15:45:09,28 Jul 2025 15:45:09,7422,0,10,3439,861,234,2878,0.325,2.504,1.111,912,1244,0,260,0,,,
https://www.google-analytics.com/g/collect?v=2&tid=G-EHCDQF6VQ5&gtm=45je57n0v9195976050za200zd9195976050&_p=1753697051427&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101509157~103116026~103200004~103233427~104684208~104684211~104948813&cid=1508104661.1753696693&ul=en-us&sr=2144x1340&frm=0&pscdl=noapi&_eu=AEAAAAQ&_s=8&dl=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fsetup-campaign%3Fkey%3D5%26summary%3Dfalse%26submit%3Dtrue%26campaignNumber%3DCMP-2025-07-28-004643%26id%3Dc35acb84-16ad-4bb3-a06d-e43082b0e1d4%26draft%3Dnull%26isDraft%3Dtrue&dr=https%3A%2F%2Funified-uat.digit.org%2Fworkbench-ui%2Femployee%2Fcampaign%2Fview-details%3FcampaignNumber%3DCMP-2025-07-28-004643%26tenantId%3Dmz&sid=1753696692&sct=1&seg=1&dt=DIGIT%20HCM&en=page_view&_et=13792&tfd=657483,COMPLETE,204,https,POST,text/plain,/127.0.0.1,39940,www.google-analytics.com/142.251.223.14,443,,28 Jul 2025 15:45:00,28 Jul 2025 15:45:06,28 Jul 2025 15:45:09,28 Jul 2025 15:45:09,8073,0,11,3745,1361,234,2722,0.299,1.584,1.111,912,1244,0,260,0,,,
